Filename,Question,Answer,Confidence
0.md,How do I apply for a new black plate personalized?,"To apply for a new black personalized plate in Utah, you need to follow these steps:

1. **Complete the Application:** Fill out the TC-817, Application for Personalized and Replacement License Plates form .
2. **Pay the Fees:** Be prepared to pay the appropriate personalized plate fees. For special group plates, there may be an additional contribution to the organization they support .
3. **Submission Options:**
   - **Online:** You can order personalized plates online through the Motor Vehicle Portal (MVP). Select the ""License Plates"" options to place your order .
   - **In-Person:** Visit your local DMV office and complete the process there .
   - **By Mail:** Mail the completed and signed form along with a check or money order for the amount due to:
     ```
     Division of Motor Vehicles
     Vehicle Compliance Services (VCS)
     P.O. Box 30412
     Salt Lake City, UT 84130
     ```
     For express services (FedEx, UPS, etc.), use zip code 84116 .

4. **Check Availability:** Use the Motor Vehicle Portal (MVP) to check if the wording you want on your personalized plate is available and see how it would look on different types of license plates .
5. **Wait for Delivery:** After placing your order, expect to receive your personalized plates within eight weeks .

References:
- https://dmv.utah.gov/faq/personalized-plates
 - https://dmv.utah.gov/plates/personalized
 - https://dmv.utah.gov/plates/usu
 - https://dmv.utah.gov/plates/utah-special-group-plate-program
 - https://dmv.utah.gov/plates/nationalguard",High. The steps provided are directly extracted from the Utah DMV's guidelines on applying for personalized plates .
1.md,How do I renew my vehicle?,"To renew your vehicle in Utah, you have several options:

1. **Renewal Express**: You can renew your vehicle online using the Renewal Express service. This method is convenient and free of charge .

2. **On the SPOT**: Many inspection stations in Utah participate in the On the SPOT (OTS) program. At these stations, you can get your vehicle inspected, renew your registration, and obtain your new plate decal immediately. Most stations charge a minimal fee for this service . You can find the nearest OTS station using the OTS Station Map .

3. **Drive-Through**: The DMV processes renewals via drive-through at specific locations including Salt Lake, South Valley, Ogden, and Hurricane . Note that the Farmington drive-through location is temporarily closed .

4. **By Mail**: If you prefer to renew by mail, send the necessary documents and payment to:
   ```
   Motor Vehicle Division
   P.O. Box 30412
   Salt Lake City, UT 84130
   ```
   Make the check payable to the Utah State Tax Commission. Ensure to include applicable inspection certificates and registration fees .

Some registration renewals may require an in-person visit, especially if your renewal has been expired for more than six months or if you qualify for an abatement. In such cases, schedule an appointment using the online Appointment Scheduler .

References:
- https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/register/ots-renewal
 - https://dmv.utah.gov/vehicles/multistage-vehicles","High
**Reasoning**: The information provided is directly sourced from multiple documents from the Utah DMV, ensuring its accuracy and relevance to the question."
10.md,"I'm out of state and need to renew my registration, what if my vehicle requires emissions?","If you are a Utah resident temporarily residing outside of Utah and your vehicle requires an emission inspection, you may still register your vehicle at your permanent Utah address. Here are the steps you need to follow:

1. **Emission Inspection Requirement**: For vehicles that need an emission inspection, you will need to see if you qualify for a deferment. For example, if you are a Salt Lake County resident temporarily residing outside of Utah, you may be eligible for a deferment from Salt Lake County .

2. **Online Renewal**: Many vehicle registration renewals can be completed online. You can use the Renewal Express service to obtain a temporary permit, which will allow you 30 days to operate the vehicle while you complete the emission inspection and other necessary documentation .

3. **Required Documentation**: Ensure you have the necessary documentation such as proof of ownership, vehicle safety inspection certificates (if required), and vehicle emission certificates (if required) .

4. **Permanent Utah Address**: You can register your vehicle at your permanent Utah address even if you are out of state. This applies to resident students, military personnel, and other Utah residents temporarily out of state .

References:
- https://dmv.utah.gov/register/out-of-state-residents
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/register",High. The information has been directly retrieved from the Utah DMV documents outlining the procedures and requirements for out-of-state residents needing to renew their vehicle registration and handle emission inspections. The steps and conditions are clearly specified in multiple sections of the documents .
100.md,Can I change my address online?,"Yes, you can change your address online using the Utah Motor Vehicle Portal (MVP). Individuals can perform many DMV functions through MVP, including changing their address .

References:
- https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/dmv-services
 - https://dmv.utah.gov/faq/mvp
 - https://dmv.utah.gov/vehicles/rebuilt/reconstructed
 - https://dmv.utah.gov/vehicles/rebuilt/specially-constructed","High
- The information about changing your address online through the MVP is clearly stated in the retrieved documents."
101.md,What form do I submit for my vintage vehicle instead of insurance?,"For a vintage vehicle that has a model year of 1983 or newer and is located in a county where emissions inspections are required, you need to provide proof of vehicle insurance that is specific to a collector vehicle. This can be done using form TC-745, the Vintage Vehicle Insurance Affidavit .

References:
- https://dmv.utah.gov/motorcarriers/inspection-requirements
 - https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/register/insurance
 - https://dmv.utah.gov/faq/specific-vehicles-faq
 - https://dmv.utah.gov/register/inspections","High. The information is consistent across multiple documents retrieved, all specifying the requirement for form TC-745 for vintage vehicles needing specific insurance documentation."
102.md,I bought a 2009 camper off of KSL and the owner did not have a title. They said it wasn't required. Is that true?,"According to the Utah DMV, campers with the model year 2015 and newer require a title to be issued. Since your camper is a 2009 model, it does not require a title. However, the camper must still be registered, and a current camper decal must be affixed to the vehicle. There is no fee for camper registration, but property fees must be paid as part of the registration transaction .

References:
- https://dmv.utah.gov/vehicles/campers
 - https://dmv.utah.gov/vehicles/motor-homes
 - https://dmv.utah.gov/vehicles/passenger
 - https://dmv.utah.gov/vehicles/commercial
 - https://dmv.utah.gov/vehicles/street-legal-atvs","High. The information directly addresses the requirement for titling based on the year of the camper model, which is clearly stated in the retrieved document."
103.md,How do I get a rebuilt title?,"To obtain a rebuilt title in Utah, follow these steps:

1. **Complete the Necessary Forms**:
   - Fill out Form TC-569A (Ownership Statement), explaining how essential parts were acquired and how the vehicle was constructed, including the completion date.
   - Complete Form TC-162 (Application for Utah Motor Vehicle Identification Number) and Form TC-656 (Application for Utah Title) .

2. **Provide Documentation**:
   - Submit the title(s) of the vehicle(s) from which essential parts were used. If the titles are not available, provide an Ownership Statement explaining why.
   - Submit original bills of sale and receipts for parts used in the construction of the vehicle. Keep copies for your records .

3. **Obtain Inspections**:
   - Provide pictures showing the condition of the interior and all sides of the exterior of the vehicle.
   - Obtain a safety inspection and emissions inspection if applicable. Vehicles with engines from 1967 or older do not require an emissions test .

4. **VIN Inspection**:
   - Have the Vehicle Identification Number (VIN) inspected by an authorized agent using Form TC-661 (Certificate of Inspection). This may be done by a DMV employee, designated contractor, Utah peace officer, designated enforcement agency employee, licensed dealer, or certified safety inspector. Note that this may require more than one visit .

5. **Payment of Fees**:
   - Ensure all other title and registration requirements are met, including the payment of fees and sales tax. Sales tax is due on the amount paid for all parts, except those on which sales tax has already been paid .

Following these steps will help you get a rebuilt title for your vehicle in Utah.

References:
- https://dmv.utah.gov/vehicles/rebuilt/reconstructed
 - https://dmv.utah.gov/vehicles/rebuilt
 - https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/faq/upp","High. The steps provided are directly from the Utah DMV's guidelines for obtaining a rebuilt title, ensuring that the information is accurate and up-to-date."
104.md,Where can I get a VIN inspection done?,"VIN (Vehicle Identification Number) inspections can be performed by various authorized entities in Utah. Specifically, you can get a VIN inspection done by:

1. **DMV Employee**: You can have a VIN inspection completed by a DMV employee, usually at no extra charge .
2. **Designated Contractor**: Certain contractors designated by the DMV can perform these inspections .
3. **Utah Peace Officer or Designated Enforcement Agency Employee**: You can also have a Utah peace officer or an employee of a designated enforcement agency conduct the inspection .
4. **Licensed Dealer**: Licensed dealers are also authorized to perform VIN inspections .
5. **Certified Safety Inspector**: A certified safety inspector can complete the VIN inspection as well .

For trailers, boats, off-highway vehicles, and snowmobiles, you will need to use Form TC-661, Certificate of Inspection, which must be completed by one of the aforementioned authorized individuals .

References:
- https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/titles/transfer-without-title","High
**Reasoning**: This information is directly retrieved from the Utah DMV's guidelines, ensuring its accuracy and relevance for VIN inspections in Utah."
105.md,How much does a title cost?,"The cost for a title in Utah is as follows:
- New title: $6.00 .
- Duplicate title: $6.00 .
- Title correction, including name change and lien release: $6.00 .

References:
- https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/taxes-fees/summary
 - https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/motorcarriers/assessment-fees
 - https://dmv.utah.gov/general/replacements","High
- The information is explicitly mentioned in the retrieved documents."
106.md,"""I have a triple wide mobile home, but I only received one title. Shouldn't I have received 3?""","For multiple unit manufactured/mobile homes, such as a double-wide or triple-wide, only one Utah title will be issued. Therefore, it is correct that you received only one title for your triple wide mobile home. Customers are required to surrender all Manufacturer's Statements of Origin (MSOs) or previous titles for the individual units, but only one consolidated title will be issued by the Utah DMV.

References:
- https://dmv.utah.gov/vehicles/mobile-manufactured-homes
 - https://dmv.utah.gov/vehicles/motor-homes
 - https://dmv.utah.gov/titles/transfer-without-title
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/vehicles/rebuilt/specially-constructed",High. This information is directly stated in the document regarding mobile and manufactured homes from the Utah DMV website .
